0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,CUSTOMER_ID
-0.038561672,-0.37556437,-0.20774288,0.11865278,-0.08912854,0.08176551,-0.32760894,0.231879,0.2684808,0.28935716,-0.36075065,-0.28620708,-0.14727409,0.16583937,-0.17011184,-0.110808596,93044
-0.08275044,-0.60101837,0.06632629,-0.25985914,-0.3817125,-0.124248855,-0.44506824,0.56740713,-0.19564211,0.26956972,-0.46137866,-0.2733631,-0.6243725,-0.10457392,-0.087278835,0.27192143,15718
0.1768501,-0.37754124,0.1139081,0.29452813,0.23487127,-0.37733215,-0.092469834,0.3492658,0.12748617,0.16368763,-0.32870054,-0.45599574,-0.032875866,-0.5492328,-0.32632488,0.17854398,57171
0.11579542,-0.19222759,-0.13442999,0.10210941,0.2990842,-0.19517285,-0.40510055,-0.24877772,-0.12467441,0.4119212,0.040179208,-0.27663487,-0.16748843,-0.6343006,-0.27472007,0.33780244,93115
0.1485323,0.15578744,-0.08336198,0.03778319,-0.20929685,-0.17568085,-0.25743097,-0.13586932,0.046268333,0.577434,-0.022699881,-0.06709838,-0.67856526,-0.12435721,-0.46534988,0.12328906,90561
0.15836063,-0.45027953,-0.086279206,0.03370316,-0.0251389,-0.49578363,-0.23743013,0.50385964,0.18368606,0.24756515,-0.58808595,-0.057527974,-0.13315743,-0.18640229,-0.32843542,0.20409495,64194
0.09074637,-0.31404716,-0.028740475,-0.05414534,-0.08829552,-0.24049553,-0.42468864,0.36440486,0.060309716,0.21089639,-0.38827163,-0.2351715,-0.39235216,0.10549453,-0.21109758,0.10091388,61790
0.081189334,-0.3899436,0.15004689,0.030322522,0.25366166,-0.4197456,-0.15365729,0.2564776,0.15535118,0.26072514,-0.1822379,-0.1834721,-0.051460974,-0.68330574,-0.22565009,0.42426777,43883
0.26655495,-0.49210766,-0.41424927,-0.032012865,-0.18475118,0.18424803,-0.047191344,-0.20788264,0.009364467,0.15250301,-0.4811167,-0.32484102,-0.3880657,-0.07527083,-0.61094415,0.08964938,63217
0.1707727,-0.27307218,0.060494833,-0.10124332,-0.09758152,-0.4763777,-0.26311308,0.6068218,0.136785,0.1496307,-0.44754788,-0.102321416,-0.24547055,0.0057468414,-0.14995556,0.31068656,85757
0.25822312,-0.26376918,-0.7405056,0.19876108,0.13991374,0.12075853,-0.2646653,-0.0041041523,0.31906822,0.5619095,-0.16921473,-0.24514866,0.38368556,-0.7327572,-0.58396494,0.7551116,86678
-0.1798352,-0.17372957,-0.08602655,-0.030583713,-0.04632903,-0.07678752,-0.39389217,0.2953839,0.1816953,0.42118406,-0.29864407,-0.23612854,-0.2987743,-0.26697844,-0.12542838,0.41250342,37698
0.21723235,-0.18115601,0.09540714,-0.017657835,0.22935651,-0.33110678,-0.111811705,0.3951525,0.017619126,0.38060138,-0.20217486,-0.4408378,0.04389517,-0.09924853,-0.4283708,0.17066775,31616
0.21195742,-0.48219827,-0.07189058,-0.081914425,-0.24098712,-0.13610871,-0.12980838,0.23745975,0.10978982,0.096540384,-0.59884083,-0.24487674,-0.46415287,0.10022822,-0.31535408,0.08017065,99630
0.10776223,-0.1533998,-0.48334095,0.33001643,-0.078896,0.038010903,-0.29073063,-0.2848164,-0.11810881,0.29635713,0.033226736,-0.19992144,-0.24374667,-0.2325969,-0.4393041,0.011342585,61233
0.25497344,-0.39121616,-0.13122417,0.007506728,-0.1310047,-0.21680151,-0.28714937,0.12342097,-0.06141424,-0.031403292,-0.3281446,-0.06662853,-0.2651218,0.27153608,-0.3167382,-0.1577083,25152
0.06379758,-0.47600743,-0.14557299,0.0059575886,-0.211987,-0.04972642,-0.38163003,0.48924094,0.18669385,0.22035652,-0.5726192,-0.18459769,-0.31272176,0.05061552,-0.10221413,-0.026705742,93057
