iid,cluster
2693,0
7983,5
3381,16
3919,13
3623,5
2837,16
1099,5
9465,10
3204,3
6506,3
7761,5
2241,3
7265,5
4679,12
1953,14
5087,10
9919,6
9831,0
3375,6
4783,17
5666,10
1517,16
4811,6
1323,10
8557,16
3098,16
7990,10
2762,3
6999,12
2599,7
8511,12
7611,4
2982,17
2918,4
8992,10
3986,16
3187,13
2822,0
3833,14
3425,13
8858,0
4167,12
1700,17
5636,16
8760,3
9464,6
7371,3
9359,16
3376,13
9160,12
9334,0
6438,0
1729,10
8586,6
8687,14
7920,16
2807,5
9696,16
6774,12
6718,6
8636,6
2744,16
4327,6
4196,5
4950,4
9922,13
9469,6
6384,18
9169,12
4154,17
3484,7
2280,10
5985,18
3816,3
8605,13
9517,12
2005,18
3016,5
5686,16
8929,5
1399,3
1224,3
7522,10
3654,0
5744,0
4517,16
1769,6
5846,12
2431,13
4858,10
2748,10
5066,12
1826,16
4285,6
8873,12
7896,16
8781,5
7497,17
1828,12
3315,5
4523,12
3338,16
7879,6
1297,13
2322,16
1832,6
3923,16
6330,13
2549,10
5381,17
3922,17
3903,3
8532,10
6000,12
5872,3
1704,5
3533,6
3155,17
7407,5
7999,12
8124,3
8956,18
4867,6
1032,12
7134,0
5371,18
6015,13
5653,14
8159,17
7568,16
4775,10
4394,16
2195,16
2916,10
1195,0
8463,12
3028,6
5790,4
6580,6
1843,10
4261,6
9646,3
2267,16
4989,5
8273,7
9562,3
3093,5
3115,12
4620,14
6746,16
9508,5
7565,0
7923,0
5108,5
8445,5
6596,12
8851,6
9009,14
8175,12
3926,4
7369,16
1271,16
1870,12
7109,0
1299,17
4632,17
6832,16
6125,13
1692,10
2001,0
7160,0
4346,12
6868,16
6931,10
5940,12
3965,12
4229,12
7481,16
7143,13
9435,14
2014,6
4048,18
1229,16
6642,13
9429,18
1493,12
6663,10
8306,17
6233,12
8070,5
5735,14
3370,6
7327,3
2247,17
8963,17
5722,10
3087,16
1860,16
9660,0
3521,16
9656,10
3040,16
8519,18
6681,12
2565,18
6444,14
6404,12
1596,10
3649,6
7162,12
5200,10
2165,16
2686,16
4500,16
8230,6
6072,17
9815,5
4575,5
5451,3
8404,10
6858,5
4574,3
2668,13
9349,13
7834,0
7587,0
5211,17
1142,6
1852,16
6846,10
2043,3
6638,13
7448,12
8073,3
2644,10
7447,16
8139,16
8003,12
6545,12
9376,5
5029,12
7433,6
9285,0
1941,0
6955,17
1713,0
9034,0
7042,16
1187,0
5687,12
3510,10
8949,6
6387,12
1491,12
7630,12
2514,18
7593,18
2333,13
6254,5
7427,6
6021,0
1541,6
6672,18
7509,12
3266,12
8737,6
4987,6
3892,12
9064,12
7726,3
8155,5
6262,5
