0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,ITEM_ID
-0.27867717,-0.12415332,0.32307693,-0.97725797,0.040903904,-0.09409472,0.026300743,0.34529492,-1.2793821,0.23227732,-0.55451965,0.22518367,0.19422732,0.05022832,-0.32014087,-0.10875565,6902
0.0084569305,0.11453411,-0.0563374,-0.5542294,0.11699689,-0.14354177,0.037916508,0.049956545,-0.6311064,-0.049214497,-0.085388124,0.19674382,0.24746956,-0.023872338,-0.15074238,0.12871528,9166
0.16421436,-0.045882612,-0.12523636,-0.32936573,0.30613244,-0.21125416,-0.03341967,0.39038393,-0.27821904,-0.16253996,-0.08350278,-0.2973083,0.33559877,-0.34953126,-0.13796073,0.10022963,6726
0.11452219,0.08454685,0.2552143,-0.53639317,0.02311901,0.12079643,0.07223711,0.512416,-0.3615666,-0.4380163,0.04785241,0.003939487,0.38021314,-0.045793608,0.06694287,0.24231526,5949
0.008053869,-0.13776958,-0.21154453,0.14948419,0.296193,0.20586571,0.48957595,0.6662046,0.09595205,-0.9464181,0.25758722,-0.48430794,0.76179314,-0.5650228,0.14263725,-0.25950682,4270
0.24846242,0.12977935,0.028330851,-0.10530895,-0.040481083,0.20414598,0.2622918,0.4847203,-0.12413356,-0.604588,0.2115942,-0.22888963,0.22308637,-0.22401609,-0.15554512,0.08253827,6384
0.29544163,0.09874792,-0.06156698,-0.0028105676,0.022436976,0.22411706,0.20117505,0.848112,-0.365275,-0.7172271,0.084024884,-0.23148276,0.31283706,-0.5196918,0.08643451,0.36923313,9612
-0.26335174,-0.28150678,-0.1938305,0.13686025,0.24673857,0.030661583,0.19318917,0.6426173,0.46013677,-0.5882411,0.3202079,-0.20261247,0.6235784,-0.45461082,-0.19968906,-0.19288403,9558
-0.09439103,-0.0090610925,0.32492912,-0.5705609,0.20731471,0.13436979,-0.09367847,0.77622986,-0.55478996,-0.037543736,-0.18800016,-0.047620162,0.42606696,-0.069956444,-0.1095178,-0.091300204,6247
-0.2524704,-0.46508914,-0.34549874,0.25419196,-0.007418625,-0.10296431,-0.0140278,0.8921661,0.6136275,-0.6846161,0.41857135,-0.27253777,0.7056047,-0.517758,-0.23690872,-0.27630913,1710
0.21772183,0.16182607,0.01006731,-0.26997992,-0.03174609,0.25320813,0.20044413,0.7236444,-0.30362564,-0.42662978,0.14325932,-0.40574896,0.07691556,-0.42745298,-0.015063345,-0.1600186,3738
-0.107111946,-0.022939093,-0.13367979,-0.25803217,0.18686956,-0.052678093,0.054673586,0.30085337,-0.4563591,-0.15389343,0.2442012,0.17645822,0.5291515,-0.11999672,-0.19910586,-0.049198836,5204
