uid,cluster
15859,6
15860,7
15862,0
15864,5
15865,4
15866,7
15868,5
15872,6
15874,7
15875,7
15878,9
15879,7
15880,7
15881,4
15882,4
15890,3
15892,5
15893,2
15894,6
15896,5
15897,0
15903,7
15904,7
15907,0
15918,7
15923,7
15924,2
15927,5
15928,6
15929,7
15931,9
15932,9
15933,9
15935,4
15937,3
15938,4
15941,0
15945,0
15946,7
15952,4
15953,0
15954,5
15955,4
15957,9
15958,4
15966,0
15970,4
15975,6
15977,0
15979,3
15981,0
15982,4
15985,7
15986,3
15987,4
15989,4
15991,6
15992,3
15994,7
15995,0
15998,7
16000,7
16001,4
16004,4
16006,7
16009,7
16010,5
16013,7
16016,0
16017,4
16019,3
16020,2
16034,3
16036,4
16038,9
16039,3
16046,6
16048,3
16049,9
16051,7
16052,9
16056,4
16059,4
16060,5
16061,9
16062,0
16064,7
16065,5
16067,9
16070,0
16071,7
16072,6
16074,4
16075,3
16076,4
16079,0
16081,4
16084,9
16091,4
16095,3
16096,7
16097,9
16100,9
16105,9
16106,0
16108,6
16111,9
16113,9
16117,4
16118,9
16128,4
16132,4
16133,4
16134,6
16136,3
16138,2
16139,7
16144,7
16145,4
16148,9
16151,7
16152,7
16153,6
16159,4
16165,3
16166,0
16169,0
16175,9
16177,7
16178,4
16179,6
16182,5
16183,4
16184,4
16186,7
16188,7
16192,9
16194,5
16196,5
16199,5
16201,9
16204,3
16205,4
16207,7
16208,9
16209,4
16210,4
16211,5
16213,3
16215,2
16225,6
16231,6
16232,6
16233,4
16234,3
16235,4
16238,9
16241,7
16245,5
16247,5
16252,3
16253,0
16255,6
16257,4
16264,3
16266,4
16267,4
16268,3
16269,5
16270,7
16271,9
16272,9
16279,0
16280,5
16284,9
16287,6
16288,4
16289,7
16290,5
16293,6
16296,4
16297,2
16298,5
16299,4
16301,9
16308,0
16310,4
16311,5
16312,9
16313,6
16314,9
16315,7
16316,7
16317,9
16318,7
16319,5
16321,7
16322,7
16323,0
16328,9
16329,0
16330,0
16334,9
16340,7
16341,5
16342,0
16347,6
16348,6
16350,2
16355,0
16359,4
16361,6
16365,4
16366,9
16367,6
16370,9
16373,3
16379,4
16382,7
16383,7
16386,9
16388,4
16390,9
16391,3
16392,0
16394,8
16396,5
16398,0
16399,7
16400,9
16403,2
16404,6
16409,6
16415,2
16417,5
16418,4
16422,0
16423,0
16424,9
16425,0
16426,7
16429,7
16430,5
16431,7
16432,7
16433,9
16434,0
16435,5
16437,0
16439,0
16442,9
16444,7
16448,7
16451,9
16454,5
16456,4
16459,0
16465,9
16466,4
16467,4
16468,0
16474,0
16477,7
16478,7
16479,7
16481,7
16483,4
16484,9
16488,4
16489,4
16491,4
16495,4
16496,3
16497,7
16498,3
16501,6
16502,6
16506,9
16507,9
16509,3
16510,7
16512,0
16513,9
16515,0
16519,9
16522,0
16525,2
16526,6
16527,9
16528,3
16529,7
16536,2
16537,4
16539,9
16541,9
16543,5
16545,7
16547,4
16549,6
16551,5
16552,6
16554,7
16555,0
16556,4
16558,0
16559,0
16561,5
16568,7
16569,7
16571,6
16573,4
16578,7
16579,5
16585,6
16592,6
16593,2
16595,4
16597,7
16598,5
16601,2
16602,6
16606,7
16617,4
16620,4
16622,9
16623,9
16627,3
16631,4
16633,2
16636,7
16637,0
16648,5
16649,2
16650,9
16651,6
16656,4
16658,0
16660,7
16662,7
16664,0
16665,5
16666,0
16667,9
16670,4
16672,3
16673,6
16675,6
16676,4
16681,0
16682,5
16683,3
16685,4
16687,5
16689,5
16691,7
16692,7
16695,4
16697,6
16698,7
16699,0
16700,6
16701,9
16702,3
16705,4
16706,7
16707,4
16708,9
16712,9
16717,0
16718,7
16720,0
16723,5
16724,0
16728,3
16729,9
16730,5
16731,7
16735,4
16736,4
16738,3
16739,0
16742,9
16748,9
16750,4
16751,5
16752,2
16754,7
16756,4
16757,4
16758,4
16759,7
16761,5
16762,3
16763,7
16767,7
16769,5
16778,4
16779,2
16781,0
16784,7
16785,7
16787,3
16790,7
16792,0
16793,6
16802,7
16804,7
16807,3
16809,7
16811,3
16812,9
16814,5
